,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relating to period,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July2020,August 2020,September 2020,October 2020,,,,,,,,,,,,,,
Dec-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-20,-297,781,-22,195,-88,-2660,2774,42,-40,-131,-292,-231,-276,819,157,273,-142,-2656,2876,253,177,-41,-285,-207,81,891,695,1284,-359,-2742,2608,567,279,-200,-551,-466,177,660,1231,2862,-1138,-3130,2653,804,290,-550,-1071,-1067,-157,70,1345,4252,-3369,-4981,-10764,-12097,-13836,-14280,-16035,-18888,-20069,-30490,-36059,-43372,-,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-20,-1141,1517,-3,2694,2506,-6470,1618,313,119,-110,-344,-684,-1312,1302,54,2514,3684,-5940,1269,-189,760,-494,-547,-696,-1514,541,152,1972,7166,-5673,356,-827,1321,-1281,-853,-591,-2258,-171,220,1212,12335,-6251,-596,-1452,2040,-2402,-7240,-8704,-12845,-11246,-10806,-10979,5849,-19502,-14568,-11946,-4497,-8391,-7482,-7489,-14243,-10816,-17657,-22811,-40488,-,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,-10670,-18728,-6656,420,-1579,23840,-7364,-458,4978,243,1842,2966,-3522,-7504,3819,9934,3358,23097,-442,6572,7957,888,4126,7760,1173,16064,12171,13864,10991,26533,6640,10912,8291,2374,6429,7375,4877,17264,15151,16492,15671,39105,11026,14279,6719,-1420,4310,6735,15151,10084,10682,19365,20574,36524,8045,9704,9640,33019,40983,42139,54942,38698,41448,39876,32480,42069,-,,,,,,,,,,,,,,,,,,,,,,,
Apr-20,-4,58,757,-4617,1461,-16986,-50,2463,7790,6002,2609,1194,229,148,375,-5252,1144,-16935,-1221,1424,10184,7147,3083,1638,420,-138,-530,-5391,-244,-16987,-2845,10,14638,12861,7680,5649,3656,2756,1877,-2646,1195,-12887,-1049,658,20695,16109,14573,13522,11092,10580,9635,5357,7302,-2257,7627,6124,31241,2184,-8249,-12459,-16860,-20574,-27299,-37052,-42601,-66136,-90417,-,-,,,,,,,,,,,,,,,,,,,,,
May-20,109,-356,-275,-643,154,-589,3933,375,-1856,-176,236,-103,78,-503,-583,-900,-67,-536,3932,1118,-2101,184,794,106,-106,-1009,-1295,-1313,-652,-474,4152,2198,-1658,872,1802,514,-168,-1525,-1930,-1488,-1123,-367,5028,4421,-1359,1619,3791,2375,1437,708,921,2235,2475,3902,10609,11495,8058,12175,7505,4655,403,-4644,-11088,-20387,-31011,-47595,-75187,-112931,-108032,-,0,0,0,0,,,,,,,,,,,,,,,,
Jun-20,211,84,93,241,177,172,-21,-184,-946,-459,-53,73,149,63,98,271,247,233,52,-135,-1189,-598,-127,68,114,87,176,308,342,234,199,52,-1727,-808,-31,245,210,180,313,385,515,336,409,373,-2322,-1200,-145,405,285,284,435,429,610,333,655,850,-3141,-2732,-3994,-4637,-4955,-4894,-4647,-3835,-3636,-3795,-3925,-5378,-2309,5426,-,0,0,0,,,,,,,,,,,,,,,,
Jul-20,-858,6,43,-25,120,38,-254,240,394,211,139,-29,-868,-72,-1,-6,143,45,-222,225,443,159,199,142,-1392,11,34,16,99,85,-68,71,428,87,198,324,-1999,110,118,127,181,258,172,78,647,222,612,582,-2660,218,192,187,244,470,362,31,798,303,713,152,-3126,478,509,785,991,1128,1585,1523,518,-525,37899,-,0,0,,,,,,,,,,,,,,,,
Aug-20,-5500,-7723,-8763,-8426,-10563,-10182,-12176,-10719,-10140,-10613,-9432,-8246,-6249,-8295,-9137,-8872,-10733,-10546,-13153,-12909,-13321,-14158,-12931,-12047,-10192,-12114,-11753,-11682,-13754,-14379,-16069,-15734,-15733,-17011,-15928,-12499,-9255,-12599,-12821,-12023,-13034,-14168,-16544,-16217,-16336,-18089,-18478,-11172,-8027,-13616,-14010,-14403,-15646,-17433,-20323,-20299,-19300,-21800,-20967,-6280,-1768,-6920,-6662,-6846,-6998,-8027,-9220,-8320,-7829,-17746,-28979,25208,-,0,,,,,,,,,,,,,,,,
Sep-20,-743,356,-409,2749,-1591,-161,-823,584,1799,-281,-852,-943,-1119,609,-11,3162,-2214,380,-509,496,1917,-825,-1376,-1255,-2753,1558,1367,3832,-2825,1214,374,77,1740,-1545,-2185,-2869,-5637,3621,4187,5015,-3235,2133,1197,-494,1072,-2077,-3062,-5342,-8858,6618,7347,6240,-3010,2837,1538,-1165,631,-2534,-4127,-8349,-11460,9966,10731,8835,-1779,4716,2795,-692,-1313,-10357,-21820,-25077,69635,-,,,,,,,,,,,,,,,,
Oct-20,375,67,-88,461,43,38,-1399,77,260,-579,209,498,480,181,-60,392,65,-7,-1377,-102,287,-718,208,464,1192,286,-103,5,306,-239,-1223,-503,134,-1006,110,714,2471,616,-584,-490,602,-411,-1144,-1036,-121,-1191,-128,1134,4357,1549,-1873,-976,958,-643,-1050,-1564,-334,-861,971,3419,6022,460,-5926,-4256,-1678,-3383,-3425,-4462,-4939,-10013,-13283,-14708,-11264,-2891,-,,,,,,,,,,,,,,,
Nov-20,-796,-624,-361,1335,109,1470,3614,-388,-1213,-331,-1032,-1521,-1136,-1147,-228,1615,830,1820,3671,-92,-1440,-479,-1472,-2144,-2311,-1804,261,2437,2201,3056,3391,478,-1783,-891,-2205,-3213,-4359,-3210,740,5081,4579,4526,3353,759,-2392,-1735,-3282,-4598,-7013,-5457,1993,9160,7068,6288,2934,1033,-3079,-2551,-4238,-5824,-9170,-7847,3453,13912,9866,7995,3401,1538,-4551,-5929,-11274,-15555,-25768,-33160,-80795,-,,,,,,,,,,,,,,
Revision from first estimate,-19314,-24562,-15684,-5616,-9251,-11490,-10148,-7655,1145,-6224,-6970,-7026,-13546,-14399,-5517,3131,-3685,-11045,-5124,-3339,3674,-8935,-8328,-6171,-15288,4373,1175,5332,3271,-9372,-2485,-2699,5930,-6548,-5534,-4817,-12285,7702,8502,14527,16548,9144,4505,2173,8933,-10714,-10120,-6130,-7238,-208,5861,20867,23055,5538,-14935,-17834,6181,-5468,-14920,-13561,-20284,-36583,-53197,-75151,28965784,28986915,29019884,29011973,28994244,28518412,28363023,28333830,28307361,28272384,28244996,28211839,,,,,,,,,,,,,,